id,title,picture,title_en,title_ja,start_date,end_date,synopsis,mean_score,rank,popularity,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration_seconds,rating,studios,num_list_users,num_scoring_users,watching,completed,on_hold,dropped,plan_to_watch
21737,"Tamayura: More Aggressive - Ichinichi dake no Shuugakuryokou, nanode",https://cdn.myanimelist.net/images/anime/9/63207.webp,,たまゆら～もあぐれっしぶ～ 第8.5話「一日だけの修学旅行、なので」,2014-06-07,2014-06-07,Extra episode in the 7th Blu-ray and DVD volumes.,7.43,2301,8464,False,special,finished_airing,"CGDCT,Iyashikei,Slice of Life",1,original,1485,g,TYO Animations,6359,2706,170,3875,146,100,2068
21743,Donten ni Warau,https://cdn.myanimelist.net/images/anime/1661/114954.webp,Laughing Under the Clouds,曇天に笑う,2014-10-04,2014-12-20,"In the 11th year of the Meiji Era, the end of the samurai shogunate and the prohibition of swords has left Japan with lasting scars. Displeased by these recent changes, many former samurai plot against the new government, inciting a wave of bloodshed. To counter this movement, the government constructs a colossal prison in the middle of Lake Biwa.   Unofficially assigned to help the police arrest criminals, Tenka Kumou also serves as a ferryman to the Lake Biwa prison with the help of his two younger siblings: the ambitious Soramaru and the enthusiastic Chuutarou. Together with the former Fuma ninja Shirasu Kinjou, the Kumou brothers live a frugal and joyful life mostly dedicated to studying and training.  However, behind this relatively uneventful daily routine, the specter of the ""Orochi"" curse is starting to spread its shadow over the city of Oumi. According to legend, every three hundred years, Orochi reincarnates in a human vessel—and it is believed that this is the harbinger of an imminent catastrophe. As various groups clash in search of Orochi's vessel, some aim to seal the curse, while others have darker plans in motion.  [Written by MAL Rewrite] ",7.45,2256,1855,False,tv,finished_airing,"Action,Historical,Shoujo,Supernatural",12,manga,1380,pg_13,Doga Kobo,137005,49384,8660,62935,5151,7244,52981
21749,Kimama ni Idol,https://cdn.myanimelist.net/images/anime/11/57299.webp,,気ままにアイドル,1990-02-25,1990-02-25,"Three pretty girls want to make it big as pop stars, but it's tough on their way to the top. Based on a manga in Comic Burger by Kenichi Koya, it was distinguished by a marketing gimmick that had the three lead voice actresses taking to the stage for real in an early attempt at multimedia promotion.  (Source: The Anime Encyclopedia)",5.29,13207,13964,False,ova,finished_airing,"Idols (Female),Music",1,manga,3009,r+,Toei Animation,1264,359,78,496,38,88,562
21751,Okusama wa Moto Yariman,https://cdn.myanimelist.net/images/anime/1804/119699.webp,,奥様は元ヤリマン,2014-02-28,2015-11-27,"Based on a doujin game by Orc Soft.  Yuuto is living alone in an apartment complex but thanks to his neighbours Megumi, Anna and Mako he's not feeling lonely. Though he enjoys their company (and their looks) he is a bit disappointed that they always treat him as a child, not as a man.  Things change on the night of his birthday when, after the party the three throw for him, Megumi tells him that as a birthday present she'll do something for him. It's the beginning of Yuuto's hot summer vacation with the three busty women...  (Source: AniDB)",7.04,,5903,True,ova,finished_airing,Hentai,2,visual_novel,1487,rx,Circle Tribute,15526,6552,1652,9551,645,547,3130
21755,Shin Tennis no Oujisama vs. Genius 10,https://cdn.myanimelist.net/images/anime/12/65403.webp,The Prince of Tennis II vs Genius10,新テニスの王子様 vs Genius10,2014-10-29,2015-06-26,"After a month abroad, the Foreign Expedition Team has returned to the Japan U-17 training camp. The group consists of 20 players, each with strength and technique that far surpasses those who occupy the camp's top court. In anticipation of the team's arrival, the coaches announce that 20 of the best players would be selected for further training. Tension begins to rise when only high school students are chosen to participate, but the middle school students challenge the players who possess the 11th to 20th positions to steal their places.  With the delayed appearance of the ""Genius 10,"" the middle school students begin scheming among themselves to claim those spots as well. Unlikely pairings start to work together, combining their efforts to defeat the top 10 players of the country. It is a battle of wits, deception, and skill—all for the privilege of representing Japan at the U-17 World Cup.  [Written by MAL Rewrite]",7.58,1714,5259,False,ova,finished_airing,"Shounen,Sports",10,manga,1440,pg_13,"Production I.G,M.S.C",21050,9518,909,14401,379,328,5033
21761,Ari to Hato,,,蟻と鳩,1918-07-18,1918-07-18,In this tale an ant and a pigeon help each other.,,19971,17530,False,movie,finished_airing,Kids,1,other,0,g,,535,79,24,139,49,185,137
21763,Ari to Hato (1953),,,ありとはと,1953-08,1953-08,,,19972,18421,False,movie,finished_airing,Kids,1,other,960,g,,459,74,21,131,21,161,124
21765,Ari to Hato (1959),https://cdn.myanimelist.net/images/anime/7/77372.jpg,,ありとはと,1959-09-05,1959-09-05,Third remake of the Ari to Hato.,5.09,13634,16421,False,movie,finished_airing,Kids,1,other,497,g,Gakken Eigakyoku,673,258,23,380,14,101,154
21771,Romantica Clock,https://cdn.myanimelist.net/images/anime/8/58769.webp,,ロマンチカ クロック,2014-02-04,2014-02-25,"Three episodes aired on TV as part of the Ribon x Oha Suta specials.   Akane: She's beautiful and popular, lively and full of vitality; Aoi: Looks like a small animal but is actually very clever. Who knew that these two very different people were actually... twin siblings?!   (Source: MU)   Note: Episodes were made available on the official stream few days before the official broadcast.",5.68,11900,6164,False,special,finished_airing,Shoujo,3,manga,80,g,,13814,6847,334,10137,123,187,3031
21773,Sugar*Soldier,https://cdn.myanimelist.net/images/anime/9/57959.webp,,シュガー＊ソルジャー,2014-01-14,2014-01-28,"Three episodes aired on TV as part of the Ribon x Oha Suta specials.   Makoto is determined to step out of her model sister's shadow and have her own high school debut, but when Makoto's sister shows up at her school unexpectedly, things go awry.   (Source: MU) ",5.79,11406,6577,False,special,finished_airing,"Comedy,Romance,Shoujo",3,manga,80,g,,11825,5526,312,8488,113,168,2743
21775,Shounen Sunday CM: Yugami-kun ni wa Tomodachi ga Inai,https://cdn.myanimelist.net/images/anime/10/57345.webp,,湯神くんには友達がいない,2013-11-26,2014-09-18,"Despite being the most talented player on the Kamihoshi High School baseball team, Yuuji Yugami is a loner and ostracized by his classmates. Yugami, however, is optimistic and adamant about remaining friendless—which is what he tells new transfer student Chihiro Watanuki.  Chihiro, on the other hand, aims to make new friends as quickly as possible. Although initially perplexed by Yugami's enigmatic personality, Chihiro ultimately aspires to better understand him after finding herself on the receiving end of his unexpected kindness.  [Written by MAL Rewrite]",5.86,,10367,False,cm,finished_airing,"Comedy,Romance,School,Shounen",2,manga,30,pg_13,A-1 Pictures,3575,1052,237,1574,71,105,1588
